"","Operator","Type","NumberOfCrashes"
"2245","Lehigh Acres Development Inc.","Martin 404",1
"2246","Les Ailes de Gaspé Inc.","Piper PA31-310",1
"2247","Lester C. Bush - Air Taxi","Beech C-45H",1
"2248","Lexington Air Taxi","Beech C-45H",1
"2249","Liard Air","de Havilland DHC-6 Twim Otter 100",1
"2250","Libya Arab Airlines","Boeing B-727-224",1
"2251","Libya Arab Airlines / Military -  Libya Air Force","Boeing B-727-2L5 / MiG23UB",1
"2252","Lignes Aeriennes Latecoere","Breguet 14",3
"2253","Lina Congo","de Havilland Canada DHC-6 Twin Otter 300",1
"2254","Linair Express","Cessna 402B",1
"2255","Linea Aérea Mexicana de Carga","Convair CV-240-53",1
"2256","Linea Aérea Nacional","Douglas DC-3-313",1
"2257","Linea Aeropostal Venezolana","Curtiss C-46A-55-CK",1
"2258","Linea Aeropostal Venezolana","Douglas C-47-DL",1
"2259","Linea Aeropostal Venezolana","Douglas C-47A",2
"2260","Linea Aeropostal Venezolana","Douglas DC-3",3
"2261","Linea Aeropostal Venezolana","Hawker Siddeley HS-748-215-2",1
"2262","Linea Aeropostal Venezolana","Lockheed 1049E-55 Super Constellation",1
"2263","Linea Aeropostal Venezolana","Lockheed 1049E Super Constellation",1
"2264","Linea Aeropostal Venezolana","Lockheed 749-79-34 Constellation",1
"2265","Linea Aeropostal Venezolana","McDonnell Douglas DC-9-15",1
"2266","Linea Aeropostal Venezolana","McDonnell Douglas DC-9-32",1
"2267","Linea Aeropostal Venezolana","Vickers Viscount 749",2
"2268","Linea Expresa Bolivar","Curtiss C-46D-15-CU",1
"2269","Lineas Aéreas Brasil","Douglas DC-3",1
"2270","Lineas Aéreas Cave","Cessna 402",1
"2271","Lineas Aéreas Colombianas","Handley Page Dart Herald 400",1
"2272","Lineas Aéreas Costarricenses","Douglas DC-3",1
"2273","Lineas Aéreas Costarricenses  LACSA","Douglas DC-3 (C-47A-90-DL)",1
"2274","Lineas Aéreas Interpolar","Curtiss C-46A-50-CU",1
"2275","Lineas Aéreas la Urraca","Vickers Viscount 837",1
"2276","Lineas Aéreas La Urraca","Douglas DC-3 (C-47-DL)",1
"2277","Lineas Aéreas La Urraca","Handley Page HPR-7 Herald 101",1
"2278","Lineas Aéreas Mineras","Lockheed Vega 5B",1
"2279","Lineas Aéreas Nacionales","Curtiss C-46A",1
"2280","Lineas Aéreas Nacionales","Douglas C-47 (DC-3)",1
"2281","Lineas Aéreas Sud Americana","Curtiss C-46",1
"2282","Lineas Aéreas Suramericanas","Canadair CL-44J",1
"2283","Lineas Aéreas Trans. Brasileira","Douglas DC-3D",1
"2284","Lineas Aereas","Convair CV-440-11",1
"2285","Lineas Aereas de Angola","Yakovlev YAK-40",1
"2286","Lineas Aereas de Espana/Spantax SA Transportes","MD Douglas DC-9-32/Convair CV-990A",1
"2287","Lineas Aereas de los Libertadores","Cessna 208 Caravan I",1
"2288","Lineas Aereas del Caribe","McDonnell Douglas DC-8-55F",1
"2289","Lineas Aereas del Estado","Vickers 615 Viking 1B",1
"2290","Lineas Aereas Mineras","Boeing 247D",1
"2291","Lineas Aereas Nacionales SA (Peru)","Lockheed 188A Electra",2
"2292","Lineas Aereas Suramericanas","Sud Aviation SE-210 Caravelle 10R",1
"2293","Lineas Aereas Unidas","DC-2-243",1
"2294","Lineas Areas del Centro","de Havilland Canada DHC-6 Twin Otter 100",1
"2295","Lineas Areas Unidas","Douglas DC-2-243",1
"2296","Lineas Areas Venezolanas","Douglas C-47-DL",1
"2297","Linee Aeree Italiane","Douglas DC-3",2
"2298","Linee Aeree Italiane","Douglas DC-6B",2
"2299","Linee Aeree Italiane","Savoia-Marchetti SM83",1
"2300","Linjefyg","Convair CV-440",1
"2301","Lion Air","McDonnell-Douglas MD-82",1
"2302","Lionair","Antonov AN-24RV",1
"2303","Lisa Jet Inc. - Air Taxi","Gates Lear 25",1
"2304","Living Water Teaching Ministries Charter","Douglas DC-3C",1
"2305","Livingston Helicopter - Air Taxi","Hiller FH1100",1
"2306","Lloyd Aéreo Boliviano","Boeing B-707-31",1
"2307","Lloyd Aéreo Boliviano","Curtiss C-46D",1
"2308","Lloyd Aéreo Boliviano","Douglas DC-3",1
"2309","Lloyd Aereo Boliviano","Douglas DC-3",3
"2310","Lloyd Aereo Boliviano","Douglas DC-4",1
"2311","Lloyd Aereo Boliviano","Douglas DC-6B",2
"2312","Lloyd Aereo Boliviano","Fairchild F-27J",1
"2313","Lloyd Aereo Boliviano","Fairchild F-27M",1
"2314","Lloyd Aereo Boliviano","Junkers JU-52",1
"2315","Lloyd Aereo Colombiano","Curtiss C-46",1
"2316","Lloyd Aero Boliviano","Ford Tri-motor 5",1
"2317","Lockheed AC-130H Hercules","Military - U.S. Air Force",1
"2318","Loftleidir IcelandiAirlines","Avro Anson",1
"2319","Loftleidir IcelandiAirlines","McDonnell Douglas DC-8-Super 63CF",1
"2320","Loganair","Britten-Norman BN-2A-26 Islander",1
"2321","Loganair","de Havilland Canada DHC-6 Twin Otter 300",1
"2322","Loganair","Pilatus-Britten Norman BN-2B-26 Islander",1
"2323","Loganair","Shorts 360-100",1
"2324","Loide Aéreo Nacional","Curtiss C-46A",2
"2325","Loide Aéreo Nacional","Douglas DC-4",1
"2326","Loide Aereo Nacional","Curtiss C-46A-CU",1
"2327","Loide Aereo Nacional","Douglas DC-3",1
"2328","Loma Linda University - Air Taxi","Sikorsky S-55B",1
"2329","Lone Star Airlines","Swearingen SA-227AC Metro III",1
"2330","Los Angeles Airways","Sikorsky S-61L helicopter",2
"2331","LOT Polish Airlines","Antonov An-12BP",1
"2332","LOT Polish Airlines","Antonov AN-24B",2
"2333","LOT Polish Airlines","Antonov AN-24V",1
"2334","LOT Polish Airlines","Douglas DC-3",1
"2335","LOT Polish Airlines","Ilyushin IL-62",1
"2336","LOT Polish Airlines","Ilyushin IL-62M",1
"2337","LOT Polish Airlines","Ilyushin P-14",1
"2338","LOT Polish Airlines","Lockheed 14 Electra",1
"2339","LOT Polish Airlines","Lockheed 14H Super Electra",1
"2340","LOT Polish Airlines","Vickers 804 Viscount",1
"2341","LOT Polish Airlines","Vickers Viscount 804",1
"2342","Luft-Taxi Emsland","Cessna 402B",1
"2343","Lufthansa","Airbus A320-211",1
"2344","Lufthansa","Boeing 720-030B",1
"2345","Lufthansa","Boeing B-747-130",1
"2346","Lufthansa","Convair CV-440-0",1
"2347","Lufthansa","Lockheed 1049G Super Constellation",1
"2348","Lufthansa Cargo Airlines","Boeing 727-243F",1
"2349","Lufthansa Cityline","de Havilland Canada DHC-8-301",1
"2350","Lumbini Airways","de Havilland Canada DHC-6 Twin Otter 300",1
"2351","Luthi Aviation - Air Taxi","Beechcraft C-45H",1
"2352","Luxair","Fokker 50",1
"2353","Mabuhay Airways","Douglas DC-3",1
"2354","Macchi","Macchi C-94",1
"2355","Macon Horizons - Air Taxi","Piper PA-31-350",1
"2356","Maddux Airlines","Ford 5-AT-C Tri Motor",1
"2357","Maddux Airlines / Military - U.S.Army Air Force","Ford 5-AT-B Tri-Motor / B-PW-9D",1
"2358","Madrid Taxi Aéreo - Charter","Gates Learjet 25D",1
"2359","Magistralnye Avialinii","Antonov AN-124",1
"2360","MajestiAir Cargo","Douglas C-47A-30-DK (DC-3C)",1
"2361","Malaysia Airlines","Boeing B-737-2H6",1
"2362","Malaysia Airlines","Fokker 50",1
"2363","MALERT","Fokker F-III",1
"2364","Malert Airlines","Junkers JU-52/3m",1
"2365","Malev Hungarian Airlines","Douglas DC-3",1
"2366","Malev Hungarian Airlines","Ilyushin IL-18D",2
"2367","Malev Hungarian Airlines","Ilyushin IL-18V",1
"2368","Malev Hungarian Airlines","Tupolev TU-134",1
"2369","Malev Hungarian Airlines","Tupolev TU-134A",1
"2370","Malev Hungarian Airlines","Tupolev TU-154B",1
"2371","Malindi Air Services","Let 410UVP-E",1
"2372","Malu Aviation","Antonov 32B",1
"2373","Malu Aviation","de Havilland Canada DHC-6 Twin Otter 200",1
"2374","Mamer - Shreck  - Air Taxi","Beechcraft S35",1
"2375","Manacá Táxi Aéreo","Learjet 24D",1
"2376","Manchurian Air Lines","Mitsubishi MC-20",1
"2377","Mandala Airlines","Boeing 737-230",1
"2378","Mandala Airlines","Vickers Viscount 816",1
"2379","Mango Airlines","Antonov AN-12B",1
"2380","Mannin Airways","de Havilland DH-89A Dragon Rapide",1
"2381","Manunggal Air","Transall C-160NG",1
"2382","MAP","Antonov An-12",1
"2383","MAP","Antonov An-12B",1
"2384","MAP","Antonov An-32",1
"2385","MAP - Ministerstvo Aviatsionnoi Promyshlennosti","Antonov AN-8",1
"2386","Marco Zero Air Taxi","Embraer 721C Sertanejo",1
"2387","Maritime Central Airways","Bristol 170 Freighter 31",1
"2388","Maritime Central Airways","Douglas C-47-DL",1
"2389","Maritime Central Airways","Douglas DC-4",1
"2390","MarkAir Commuter","Cessna 208 Caravan I",1
"2391","MaRoberston-Miller Airlines","Douglas C-47A-20-DL",1
"2392","MaRobertson-Miller Airlines","Vickers Viscount 720",1
"2393","MaRobertson Miller Airlines","de Havilland DH-86A",1
"2394","Marsland Aviation","Antonov AN-24B",1
"2395","Martinair Holland NV","McDonnell Douglas DC-10-30CF",1
"2396","Martinair Holland NV","McDonnell Douglas DC-8-55F",1
"2397","Maryland State Police","Aerospatiale SA365N-1 Dauphin II",1
"2398","MATS - Manila Aero Transport System","Douglas DC-3 (C-47A-30-DK)",1
"2399","Mavrik Aire Transport","de Havilland DHC-3 Otter",1
"2400","Mayoral Executive Jet","Aerospatiale SN-601 Corvette",1
"2401","McCoy Flying Service - Taxi","Douglas DC-3",1
"2402","McKenzie Flying Service - Air Taxi","Cessna T310R",1
"2403","McKinley Air Service - Air Taxi","Cessna 185",1
"2404","MD Air Services","Partenavia P-68C",1
"2405","Med Flight Air Ambulance - Private","Learjet 35A",1
"2406","Mercer Airlines","Douglas DC-6",1
"2407","Mercury Aviation","Douglas DC-3-455",1
"2408","Merpati Nasantara Airlines","de Havilland Canada DHC-6 Twin Otter 300",2
"2409","Merpati Nusantara Airlines","British Aerospace ATP",1
"2410","Merpati Nusantara Airlines","CASA 212 Aviocar 100",1
"2411","Merpati Nusantara Airlines","CASA 212 Aviocar 200",1
"2412","Merpati Nusantara Airlines","CASA 235-10",1
"2413","Merpati Nusantara Airlines","de Havilland Canada DHC-6 Twin Otter 100",1
"2414","Merpati Nusantara Airlines","de Havilland Canada DHC-6 Twin Otter 300",6
"2415","Merpati Nusantara Airlines","Fokker F-27 Friendship 500F",2
"2416","Merpati Nusantara Airlines","Fokker F-27 Friendship 600",1
"2417","Merpati Nusantara Airlines","Fokker F-28 Fellowship 3000",1
"2418","Merpati Nusantara Airlines","Vickers Viscount 828",1
"2419","MerriAviation - Air Taxi","de Havilland DHC-2",1
"2420","Metro Air Systems","Beech G18S",1
"2421","Metro Aviation","Beechcraft Super King Air B200",1
"2422","Metro Cargo","Ilyushin 76TD",1
"2423","Metro Commuter - Air Taxi","Beechcraft 65-B80",1
"2424","Mexican Government","Learjet 45",1
"2425","Mexicana","Boeing B-727-264",1
"2426","Mexicana","Boeing B-727-64",1
"2427","Mexicana","Douglas DC-2-243",1
"2428","Mexicana","Douglas DC-3",4
"2429","Mexicana","Douglas DC-3 (C-53-DO)",1
"2430","Mexicana","Lockheed 10 Electra",1
"2431","Mexicana","Lockheed Orion",2
"2432","Miami Airlines","Curtiss Wright C-46F",1
"2433","Miami Airlines","Douglas DC-3 (C-47-DL)",1
"2434","MIAT - Mongolian Airlines","Antonov AN-24RV",1
"2435","MIAT - Mongolian Airlines","Antonov AN-26",1
"2436","MIAT - Mongolian Airlines","Antonov AN-26B",1
"2437","MIAT - Mongolian Airlines","Harbin Yunshuji Y-12 II",2
"2438","Mid-AtlantiFreight","Cessna 208B Cargomaster I",1
"2439","Mid Continent Airlines","Douglas DC-3",1
"2440","Mid Island Air - Air Taxi","Cessna 182H",1
"2441","Mid PacifiAir","NAMC YS-11A-300F",1
"2442","Middle East Airlines","Avro 685 York C1",1
"2443","Middle East Airlines","Avro 685 York I",1
"2444","Middle East Airlines","Boeing B-720B-023B",1
"2445","Middle East Airlines","Sud Aviation Caravelle 3",1
"2446","Middle East Airlines / Military - Turkish Air ForceC-47","Vickers Viscount 754D",1
"2447","Middle States Airlines","Lockheed Vega",1
"2448","Midwest Express","McDonnell Douglas DC-9-14",1
"2449","Mililtary - Royal Canadian Air Force","Douglas DC-3 Dakota",1
"2450","Mililtary - Soviet Air Force","Ilyushin IL-76M",1
"2451","Mililtary - U.S. Navy","Lockheed P-3A",1
"2452","Military -  (2) U.S. Army Air Forces","Boeing B-17G / Boeing B-17G",1
"2453","Military - Afghan Republican Air Force","Antonov AN-12",1
"2454","Military - Afghan Republican Air Force","Antonov AN-22",1
"2455","Military - Afghan Republican Air Force","Antonov AN-26",5
"2456","Military - Afghan Republican Air Force","Antonov AN-32",2
"2457","Military - Afghan Republican Air Force","Ilyushin IL-18",1
"2458","Military - Afghan Republican Air Force","Mil Mi-17 ( helicopter)",1
"2459","Military - Afghan Republican Air Force","Mil Mi-8",1
"2460","Military - Afghan Republican Air Force","Mil Mi-8 (helicopter)",2
"2461","Military - Afghan Republican Air Force","Mil Mi-8 / Mil Mi-8",1
"2462","Military - Algerian Air Force","Lockheed C-130H Hercules",1
"2463","Military - Angolan  Air Force","Antonov AN-12",1
"2464","Military - Angolan Air Force","Antonov AN-26",3
"2465","Military - Angolan Air Force","CASA 212-200 Aviocar",1
"2466","Military - Angolan Air Force","CASA 212 Aviocar 300",1
"2467","Military - Angolan Air Force","Mil Mi-17 (helicopter)",1
"2468","Military - Angolan Air Force","Mil Mi-8MTV (helicopter)",1
"2469","Military - Angolan Armed Forces","Mi-17",1
"2470","Military - Argentine Air Force","Avro 691 Lancastrian IV",1
"2471","Military - Argentine Air Force","Douglas C-47A",1
"2472","Military - Argentine Air Force","Douglas C-54",2
"2473","Military - Argentine Air Force","Fokker F-27 Friendship 400M",1
"2474","Military - Argentine Air Force","Fokker F-27 Friendship 500",1
"2475","Military - Argentine Navy","de Havilland Canada DHC-6 Twin Otter 200",1
"2476","Military - Armée de l'Air Malgache","Douglas C-47",1
"2477","Military - Australian Army Aviation","Sikorsky S-70 / Sikorsky S-70",1
"2478","Military - Azerbaijan Air Force","Mil Mi-8 (helicopter)",2
"2479","Military - Belgian Air Force","Fairchild C-119G / Fairchild C-119",1
"2480","Military - Belgian Air Force","Kaiser-Fraser C-119G",1
"2481","Military - Belgian Air Force","Lockheed C-130H",1
"2482","Military - Bolivian Air Force","Douglas C-47",1
"2483","Military - Bolivian Air Force","Lockheed C-130A",1
"2484","Military - Brazilian Air Force","Douglas C-47",2
"2485","Military - Brazilian Air Force","Douglas C-47B",1
"2486","Military - Brazilian Air Force","Douglas C-47DL",1
"2487","Military - Brazilian Air Force","Embraer-110 C-95B Bandeirante",1
"2488","Military - Brazilian Air Force","Embraer C-95 Bandeirante",1
"2489","Military - Brazilian Air Force","Hawker Siddeley HS-125-403B",1
"2490","Military - Brazilian Air Force","Lockheed C-130E",1
"2491","Military - Brazilian Air Force","Lockheed C-130H",1
"2492","Military - Brazilian Air Force","Lockheed C-28",1
"2493","Military - British Air Ministry","Royal Airship Works R-101",1
"2494","Military - Burma Air Force","Douglas C-47",1
"2495","Military - Canadian Air Force","de Havilland Canada DHC-5 Buffalo",1
"2496","Military - Canadian Army","Lockheed CC-130E Hercules",1
"2497","Military - Centrafricain Airlines","Antonov AN-8",1
"2498","Military - Chadian Air Force","Lockheed C-130 Hercules",1
"2499","Military - Chilean Air Force","Douglas C-47-DL",1
"2500","Military - Chilean Air Force","Douglas C-47A",1
"2501","Military - Chilean Air Force","Douglas DC-6B",1
"2502","Military - Chilian Air Force","Douglas C-47",1
"2503","Military - Chilian Air Force","Douglas C-47A",1
"2504","Military - Chilian Navy","Casa 212-M Aviocar 100",1
"2505","Military - Chinese Air Force","",1
"2506","Military - Chinese Air Force","Douglas C-47",3
"2507","Military - Chinese Air Force","KJ-2000",1
"2508","Military - Colombian Air Force","Douglas C-47",1
"2509","Military - Colombian Air Force","Hawker Siddeley HS 748-260",1
"2510","Military - Colombian Army","Curtiss-Wright Hawk",1
"2511","Military - Colombian Army","Mil Mi-17 (helicopter)",1
"2512","Military - Colombian government","Black Hawk helicopter",1
"2513","Military - Congolese Air Force","Antonov AN-26",1
"2514","Military - Congolese Air Force","Nord 262C-66",1
"2515","Military - Corrieri Aerei Militari","Savoia-Marchetti SM-95",1
"2516","Military - Cuban Air Force","Antonov AN-26",1
"2517","Military - Deutsche Luftwaffe","Transall C-160",1
"2518","Military - Dostum-Galboddin Militia","Antonov AN-32",1
"2519","Military - Ecuadorean Air Force","Beech Super King Air 200/DHC6-Twin Otter",1
"2520","Military - Ecuadorean Air Force","de Havilland Canada DHC-6 Twin Otter 300",1
"2521","Military - Ecuadorian Air Force","Curtiss-Wright C-14 Osprey",1
"2522","Military - Ecuadorian Air Force","Rockwell Sabreliner 40",1
"2523","Military - Egyptian Air Force","Curtiss-Wright C-46",1
"2524","Military - Egyptian Air Force","Curtiss C-46",1
"2525","Military - Egyptian Air Force","Lockheed C-130H Hercules",1
"2526","Military - Egyptian Air Force","McDonnel F-4E Phantom II",1
"2527","Military - Ejército del Aire","CASA 212-DE Aviocar 200",1
"2528","Military - El Salvador Air Force","Douglas DC-6",1
"2529","Military - Ethiopian Air Force","Antonov AN-12",2
"2530","Military - Ethiopian Air Force","Antonov AN-26",1
"2531","Military - Federal Nigerian Air Force","Lockheed C-130H",1
"2532","Military - Finish Air Force","Douglas C-47A-1-DK",1
"2533","Military - Florida Army National Guard","Short 360",1
"2534","Military - Força Aérea Brasileira","Embraer C-95C Bandeirante",1
"2535","Military - Força Aérea Portuguesa","Douglas C-54 Skymaster",1
"2536","Military - Force Aérienne Zaïroise","Lockheed Hercules C-130",1
"2537","Military - Forces Militaires Françaises","Nord 2501 Noratlas",1
"2538","Military - French Air Force","Breguet 1150",1
"2539","Military - French Air Force","de Havilland Canada DHC-6 Twin Otter",1
"2540","Military - French Air Force","Douglas C-47A",1
"2541","Military - French Air Force","Douglas DC6B",1
"2542","Military - French Air Force","Nord 2501 Noratlas",4
"2543","Military - French Air Force","Sepecat Jaguar A",1
"2544","Military - French Naval Aviation","Avro Lancaster 1",1
"2545","Military - French Naval Aviation","Dassault-Breguet Atlantique",1
"2546","Military - French Naval Aviation","Dassault Breguet Atlantique",1
"2547","Military - French Navy","Zeppelin Dixmunde (airship)",1
"2548","Military - Fuerza Aérea Argentina","Learjet 35A",1
"2549","Military - Fuerza Aérea Colombiana","Douglas C-47",1
"2550","Military - Fuerza Aérea de Chile","Casa 212-AB10 Aviocar",1
"2551","Military - Fuerza Del Peru","Let 410UVP",1
"2552","Military - Georgian Air Force","Mil Mi-8",1
"2553","Military - Georgian Air Force","Mil Mi-8 (helicopter)",1
"2554","Military - German Air National Guard","Boeing KC-135E",1
"2555","Military - German Army","Airship",1
"2556","Military - German Army","Schutte-Lanz S-L-10 (airship)",1
"2557","Military - German Army","Super Zeppelin (airship)",1
"2558","Military - German Navy","Schutte-Lanz S-L-9 (airship)",1
"2559","Military - German Navy","Zeppelin L-1 (airship)",1
"2560","Military - German Navy","Zeppelin L-10 (airship)",1
"2561","Military - German Navy","Zeppelin L-2 (airship)",1
"2562","Military - German Navy","Zeppelin L-22 (airship)",1
"2563","Military - German Navy","Zeppelin L-23 (airship)",1
"2564","Military - German Navy","Zeppelin L-31 (airship)",1
"2565","Military - German Navy","Zeppelin L-32 (airship)",1
"2566","Military - German Navy","Zeppelin L-34 (airship)",1
"2567","Military - German Navy","Zeppelin L-43 (airship)",1
"2568","Military - German Navy","Zeppelin L-44 (airship)",1
"2569","Military - German Navy","Zeppelin L-53 (airship)",1
"2570","Military - German Navy","Zeppelin L-59 (airship)",1
"2571","Military - German Navy","Zeppelin L-70 (airship)",1
"2572","Military - German Navy","Zeppelin L-8 (airship)",1
"2573","Military - Government of Equatorial Guinea","Antonov An-32B",1
"2574","Military - Government of Macedonia","Beechcraft Super King Air 200",1
"2575","Military - Greek Air Force","Lockheed C-130H Hercules",1
"2576","Military - Greek Army","CH-47D Chinook",1
"2577","Military - Guatemalan Air Force","Douglas C-47",1
"2578","Military - HelleniAir Force","Lockheed C-130H",1
"2579","Military - Honduran Air Force","Douglas C-47",1
"2580","Military - Honduran Air Force","Lockheed C130D",1
"2581","Military - Imperial Iranian Air Force","Boeing B-747-131F",1
"2582","Military - Imperial Iranian Air Force","Lockheed C-130B",1
"2583","Military - Imperial Iranian Air Force","Lockheed C-130E Hercules",1
"2584","Military - Indian Air Force","",1
"2585","Military - Indian Air Force","Antonov An-12",1
"2586","Military - Indian Air Force","Antonov AN-12BP",1
"2587","Military - Indian Air Force","Antonov An-32",2
"2588","Military - Indian Air Force","Antonov AN-32 Transport",1
"2589","Military - Indian Air Force","Fairchild C-119",2
"2590","Military - Indian Air Force","Fairchild C-119G",2
"2591","Military - Indian Air Force","Hindustan Aeronautics 748-2",2
"2592","Military - Indian Air Force","Hindustan Aeronautics 748-2M",1
"2593","Military - Indian Air Force","Ilyushin IL-14",1
"2594","Military - Indian Air Force","MiG-23",1
"2595","Military - Indian Air Force","Mil Mi-8 (helicopter)",1
"2596","Military - Indian Navy","Ilyushin IL-38 / Ilyushin IL-38",1
"2597","Military - Indonesian Air Force","CASA NC-212",1
"2598","Military - Indonesian Air Force","Fokker F-27 Friendship 400M",1
"2599","Military - Indonesian Air Force","Lockheed C-130 Hercules",1
"2600","Military - Indonesian Air Force","Lockheed C-130H-30",1
"2601","Military - Indonesian Air Force","Lockheed C-130H Hercules",1
"2602","Military - Iranian Air Force","Lockheed 1329 Jetstar 8",1
"2603","Military - Iranian Air Force","Lockheed C-130",1
"2604","Military - Iranian Air Force","Lockheed C-130H",1
"2605","Military - Iranian Air Force","Lockheed C-130HF",1
"2606","Military - Iranian Air Force","Lockheed Hercules C-130",1
"2607","Military - Iranian Revolutionary Guard Corps Air Force","Antonov 74T-200",1
"2608","Military - Iranian Revolutionary Guard Corps Air Force","Dassault Falcon 20",1
"2609","Military - IslamiRepubliof Iran Air Force","Lockheed C-130 Hercules",2
"2610","Military - IslamiRepubliof Iran Air Force","Lockheed C-130B Hercules",1
"2611","Military - IslamiRevolution's Guards Corps","Ilyushin Il-76MD",1
"2612","Military - Israel  Air Force","Lockheed C-130 Hercules",1
"2613","Military - Israel Air Force","Sikorsky CH-53D (helicopter)",1
"2614","Military - Israel Air Force /Military -  Israel Air Force","Sikorsky CH53D / Sikorsky CH53D",1
"2615","Military - Italian Air Force","Aermacchi MB-339PAN (3 aircraft)",1
"2616","Military - Italian Air Force","Fairchild C-119G",1
"2617","Military - Italian Air Force","Lockheed C-130H",1
"2618","Military - Japan Air Self Defense Force","H-21B",1
"2619","Military - Japan Maritime Self Defense Force","Lockheed P2V-7",2
"2620","Military - Japan Maritime Self Defense Force","PS-1",2
"2621","Military - Japan Maritime Self Defense Force","PS-1 amphibious ASW",1
"2622","Military - Japan Maritime Self Defense Force","S2F-1 / HSS-2",1
"2623","Military - Japanese Air Self-Defence Force","Kawasaki C-1A",1
"2624","Military - Kenya Air Force","Harbin Yunshuji Y-12-II",1
"2625","Military - Kenyan Air Force","de Havilland DHC-5 Buffalo",1
"2626","Military - Kuwait Air Force","Lockheed L-100-20 Hercules",1
"2627","Military - Lao People's Liberation Army Air Force","Yakovlev YAK-40",1
"2628","Military - Luftwaffe","Transall C-160D",1
"2629","Military - Luftwaffe / Military - USAF","Tupolev TU-154M / C-141 Starlifter",1
"2630","Military - Lybian Arab Air Force","Antonov 74TK-200",1
"2631","Military - Macedonian Air Force","Mi-17 Helicopter",1
"2632","Military - Madagascar Air Force","Douglas C-47A",1
"2633","Military - Malaysian Air Force","de Havilland Canada DHC-4A",1
"2634","Military - Mauritanian Air Force","de Havilland Canada DHC-5D Buffalo",1
"2635","Military - Mauritanian Air Force","Xian Yunshuji Y-7-100C",1
"2636","Military - Mexican Air Force","Lockheed C-130A Hercules",2
"2637","Military - Mexican Air Force","Lockheed C-60 Lodestar",1
"2638","Military - Mexican Air Force","Shorts SC-7 Skyvan 3-100",1
"2639","Military - Mozambique Air Force","Antonov AN-26",1
"2640","Military - Mozambique Air Force","Mil Mi-8 (helicopter)",1
"2641","Military - Nicaraguan Air Force","Arava 201",1
"2642","Military - Nicaraguan Air Force","Douglas C-47",1
"2643","Military - Nicaraguan Air Force","Douglas DC-47",1
"2644","Military - Nicaraguan Air Force","Mil Mi-17 (helicopter)",1
"2645","Military - Nicaraguan Air Force","Mil Mi-8 (helicopter)",1
"2646","Military - Niger Air Force","Lockheed C-130H Hercules",1
"2647","Military - Nigerian Air Force","Dornier 228",1
"2648","Military - Nigerian Air Force","Hawker Siddeley HS-748",1
"2649","Military - Pakistan Air Force","Bristol 170 Freighter",1
"2650","Military - Pakistan Air Force","Fokker F-27 Friendship 200",1
"2651","Military - Pakistan Air Force","Lockheed C-130B",1
"2652","Military - Pakistan Air Force","Lockheed C-130B Hercules",2
"2653","Military - Pakistan Air Force","Lockheed Martin L-100-10",1
"2654","Military - People's Army/ Military - Peoples Air Force","Mil Mi-4 / Mil Mi-4",1
"2655","Military - People's Liberation Army","Shaanxi Yunshuji Y-8/Yunshuji Y-8",1
"2656","Military - Peruvian Air Force","Antonov AN-26",1
"2657","Military - Peruvian Air Force","de Havilland Canada DHC-6 Twin Otter 300",2
"2658","Military - Peruvian Air Force - TANS","de Havilland Canada DHC-6 Twin Otter 300",1
"2659","Military - Peruvian Army Aviation","Mil Mi-17",1
"2660","Military - Peruvian Naval Aviation","Fokker F-27 Friendship 400M",1
"2661","Military - Philippine Air Force","Bell UH-1H",1
"2662","Military - Philippine Air Force","Douglas C-47",1
"2663","Military - Philippine Air Force","Douglas C-47 Skytrain",1
"2664","Military - Philippine Air Force","Douglas C-47A",1
"2665","Military - Philippine Air Force","Fokker F-27 Friendship 200",1
"2666","Military - Philippine Air Force","GAF Nomad N-22C",1
"2667","Military - Philippine Air Force","Lockheed C-130H",1
"2668","Military - Polish Air Force","Antonov An-24B",1
"2669","Military - Polish Air Force","Antonov AN-24B",1
"2670","Military - Polish Air Force","CASA C-295M",1
"2671","Military - Portuguese Air Force","Douglas C-54",1
"2672","Military - Portuguese Air Force","Douglas C-54D",1
"2673","Military - Republiof China Air Force","Beechcraft 1900C",1
"2674","Military - Republiof China Air Force","Bell UH-1H / Bell UH-1H (helicopters)",1
"2675","Military - Republiof China Air Force","Fairchild C-199G",1
"2676","Military - Republiof China Air Force","Lockheed C-130H Hercules",1
"2677","Military - Republiof South Korea Air Force","Curtiss-Wright C-46",1
"2678","Military - Republiof South Korea Air Force","Fairchild C-123",2
"2679","Military - Royal Air Force","Armstrong Whitworth Argosy C-1",1
"2680","Military - Royal Air Force","Avro Shackleton AEW-2",1
"2681","Military - Royal Air Force","Avro Shackleton MR-1",2
"2682","Military - Royal Air Force","Avro Shackleton MR-2",3
"2683","Military - Royal Air Force","Avro Shackleton MR-3",1
"2684","Military - Royal Air Force","Avro York C1",1
"2685","Military - Royal Air Force","Boeing Vertol Chinook HC-2 (helicopter)",1
"2686","Military - Royal Air Force","British Aerospace Nimrod MR-2",1
"2687","Military - Royal Air Force","British Aerospace Nimrod MR-2P",1
"2688","Military - Royal Air Force","Consolidated LB-30A Liberator",1
"2689","Military - Royal Air Force","Consolidated Liberator",1
"2690","Military - Royal Air Force","Douglas C-47A",1
"2691","Military - Royal Air Force","Douglas C-47B",9
"2692","Military - Royal Air Force","Douglas C-47B-25-DK",1
"2693","Military - Royal Air Force","Handley Page Hastings C-2",2
"2694","Military - Royal Air Force","Handley Page HP-57 Halifax",1
