"","Operator","Type","NumberOfCrashes"
"254","Aerosweet Airlines (LVOV)","Yakovlev YAK-42",1
"255","Aerotaca","de Havilland Canada DHC-6 Twin Otter 300",3
"256","Aerotaxi Manaus","Bandeirante EMB-110P1",1
"257","Aerotechnia","Douglas C-47B",1
"258","Aerotransportes Petroleros","Swearingen SA227AC Metro III",1
"259","Aerotuy airline","Cessna 208B Grand Caravan",1
"260","Aerovalles","Cessna 421C Golden Eagle III",1
"261","Aerovanguardia","Douglas DC-3C",1
"262","Aerovias Brasil","Douglas C-47A",1
"263","Aerovias Brasil","Douglas DC-3",1
"264","Aerovias Brasil","Lockheed L-188A Electra",1
"265","Aerovias Condor","Lockheed L-188AF Electra",1
"266","Aerovias Contreras","Curtiss C-46A",1
"267","Aerovias Contreras","Douglas C-46A-CU ( DC-3)",1
"268","Aerovias Cuba International","Douglas C-54B-15-DO",1
"269","Aerovias de Guatemala SA","Beech Queen Air Model 80",1
"270","Aerovias de Guatemala SA","Sud-Aviation  Caravelle VI-N",1
"271","Aerovias del Norte","Curtiss C-46",1
"272","Aerovias del Valle","Britten-Norman BN-2 Islander",1
"273","Aerovias Guest","Douglas C-54A-10-DC",1
"274","Aerovias Halcon","Curtiss C-46F-1-CU",1
"275","Aerovias Rojas","Douglas DC-3",1
"276","Aerovias Urraca","Douglas DC-3",1
"277","Aerovias Venezolanas SA (Venezuela)","McDonnell Douglas DC-9-14",1
"278","Africa One Congo","Antonov AN-26",1
"279","African Air","Antonov AN-32B",1
"280","African Commuter Services","Grumman G-159 Gulfstream I",1
"281","Agape Flight Inc.","GAF Nomad N24A",1
"282","Agco Corp","Canadair CL-604",1
"283","Agee Flying Service - Air Taxi","Cessna 310B",1
"284","Agencia Interamericana de Aviada","Consolidated PBY-5A Catalina",1
"285","Agencia Interamericana de Aviada","Douglas DC-3 (C47-DL)",1
"286","AIDA","Consolidated PBY-5A Catalina",1
"287","Aigle Azur","Douglas DC-3",5
"288","Air-Lift Commuter","Swearingen SA-26TC Metro II",1
"289","Air  Mali","Ilyushin IL-18B",1
"290","Air 70","Cessna 421 Golden Eagle",1
"291","Air Affaires Gabon","Cessna 404 Titan",1
"292","Air Afrique","Douglas DC-6B",1
"293","Air Afrique","McDonnell Douglas DC-10-30",1
"294","Air Albatross","Cessna 402B",1
"295","Air Algerie","Boeing B-737-2T4",1
"296","Air Algerie","Douglas DC-4",1
"297","Air Algerie","Lockheed L-100-30 Hercules",1
"298","Air Algerie","Nord 262A-44",1
"299","Air Algerie","Sud Aviation SE-210 Caravelle 6N",1
"300","Air Ambulance - Med-Trans Corp.","Bell 407",1
"301","Air ambulance - Mercy Air Services","Bell 412",1
"302","Air Amercia","Fairchild C-123K",1
"303","Air America","",1
"304","Air America","Beechcraft C-45H",1
"305","Air America","Curtiss C-46A",1
"306","Air America","Curtiss C-46D-20-CU",1
"307","Air America","Curtiss C-46F",2
"308","Air America","de Havilland Canada C-7A Caribou",1
"309","Air America","Fairchild C-123",1
"310","Air America","Fairchild C-123K",1
"311","Air America","Pilatus Pc-6C",1
"312","Air America","Pilatus PC6CH2",1
"313","Air Angles Inc.","Bell 222",1
"314","Air Anguilla","Cessna 402C",1
"315","Air Atlas","Douglas DC-3",2
"316","Air Bissau","Antonov AN-24RV",1
"317","Air Bleu","Caudron C-630 Simoun",1
"318","Air Cameroon","Curtiss C-46A",1
"319","Air Canada","Boeing B-767-233ER",1
"320","Air Canada","Douglas DC-8-54F",1
"321","Air Canada","McDonnell Douglas DC-8-63",1
"322","Air Canada","McDonnell Douglas DC-9-32",2
"323","Air Canada","Vickers 757 Viscount",1
"324","Air Caraibes","de Havilland Canada DHC-6 Twin Otter",1
"325","Air Cargo Carriers","Shorts 360-100 /Shorts 360-300",1
"326","Air Cargo Express","Learjet 24D",1
"327","Air Carriers","Cessna 208B Grand Caravan",1
"328","Air Carriers","Douglas DC-3",1
"329","Air Carriers Express Services Inc","Cessna 208 Caravan I",1
"330","Air Central","Cessna 182N",1
"331","Air Chaparral - Air Taxi","Cessna T210N",1
"332","Air Charter","Avro 688",1
"333","Air Charter","Avro 688 Super Trader",1
"334","Air Charter - Tanzanian Air Services","Cessna 310R",1
"335","Air China","Boeing B-767-200ER",1
"336","Air Comores","de Havilland DH-114 Heron 1B",1
"337","Air Congo","Douglas DC-3",1
"338","Air Congo","Douglas DC-4",1
"339","Air Continental","Learjet 23A",1
"340","Air East","Beechcraft 99A",1
"341","Air Express","Bristol 170 Freighter 21E",1
"342","Air Express","Cessna 551 Citation II",1
"343","Air Ferry","Douglas C-54A",1
"344","Air Ferry Ltd","Douglas C54A",1
"345","Air Fiji","Embraer 110P1 Bandeirante",1
"346","Air Fiordland","Cessna 207 / Cessna 207",1
"347","Air Fiordland","Cessna 207 Skywagon",1
"348","Air Flamence","Pilatus-Britten Norman BN-2A-27 Islander",1
"349","Air Florida","Boeing B-737-222",1
"350","Air France","Aerospatiale BAe Concorde 101",1
"351","Air France","Airbus A-340",1
"352","Air France","Airbus A300",1
"353","Air France","Airbus A300B2-1C",1
"354","Air France","Airbus A320-111",1
"355","Air France","Airbus A330-203",1
"356","Air France","Bloch 220",1
"357","Air France","Boeing B-707-328",2
"358","Air France","Boeing B-707-328B",1
"359","Air France","Boeing B-707-328C",1
"360","Air France","Boeing B-727-230",1
"361","Air France","Breguet 280T",1
"362","Air France","CAMS 53",1
"363","Air France","Caudron C.635 Simoun",1
"364","Air France","Dewoitine D-332",1
"365","Air France","Dewoitine D-338",4
"366","Air France","Dewoitine D-342",1
"367","Air France","Douglas C-47",1
"368","Air France","Douglas DC-3",4
"369","Air France","Douglas DC-3 (C-47A-90-DL)",1
"370","Air France","Douglas DC-3 (C-53D-DO)",1
"371","Air France","Douglas DC-3C",1
"372","Air France","Douglas DC-3D",2
"373","Air France","Douglas DC-4",2
"374","Air France","Douglas DC-4-1009",2
"375","Air France","Farman F-224",1
"376","Air France","Farman F-300",1
"377","Air France","Farman F-301",1
"378","Air France","Junkers JU-5/-3m",1
"379","Air France","Junkers Ju-52",1
"380","Air France","Junkers Ju-52/3m",1
"381","Air France","Junkers JU-52/3m",2
"382","Air France","Latécoère 28",1
"383","Air France","Latécoère 28-1",1
"384","Air France","Latécoère 300",1
"385","Air France","Latecoere 26",1
"386","Air France","Latecoere 28",1
"387","Air France","Latecoere 631 (flying boat)",1
"388","Air France","Lioré-et-Olivier H-242",1
"389","Air France","Liore-et-Olivier 213",1
"390","Air France","Liore et Olivier H-246 Air Boat",1
"391","Air France","Lockheed 1049G Super Constellation",1
"392","Air France","Lockheed 1649A Starliner",1
"393","Air France","Lockheed 18 Lodestar",1
"394","Air France","Lockheed 749-79-33 Constellation",1
"395","Air France","Lockheed 749A Constellation",1
